dataset: images/simple; image_size: (200, 200); number_of_iterations: 10; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.41955, '2007_000033': 0.1389, '2007_000042': 0.0622, '2007_000063': 0.19695, '2007_000068': 0.5222, '2007_000121': 0.3037, '2007_000129': 1.045, '2007_000170': 0.43905, '2007_000175': 0.48515, '2007_000187': 0.3542, '2007_000243': 1.40625, '2007_000256': 0.82945, '2007_000323': 0.0}; pdf_file: ga_2021_05_07T14_53.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 10; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.41955, '2007_000033': 0.1389, '2007_000042': 0.0622, '2007_000063': 0.19695, '2007_000068': 0.5222, '2007_000121': 0.3037, '2007_000129': 1.045, '2007_000170': 0.43905, '2007_000175': 0.48515, '2007_000187': 0.3542, '2007_000243': 1.40625, '2007_000256': 0.82945, '2007_000323': 0.0}; pdf_file: ga_2021_05_07T15_02.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 10; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.41955, '2007_000033': 0.1389, '2007_000042': 0.0622, '2007_000063': 0.19695, '2007_000068': 0.5222, '2007_000121': 0.3037, '2007_000129': 1.045, '2007_000170': 0.43905, '2007_000175': 0.48515, '2007_000187': 0.3542, '2007_000243': 1.40625, '2007_000256': 0.82945, '2007_000323': 0.0}; pdf_file: ga_2021_05_07T15_22.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 5; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.023266666666666668, '2007_000033': 0.2596, '2007_000042': 0.01515, '2007_000068': 0.30646666666666667, '2007_000121': 0.26105, '2007_000123': 0.13734166666666667, '2007_000129': 0.11629166666666667, '2007_000170': 0.04895, '2007_000175': 0.0242, '2007_000187': 0.027525, '2007_000256': 0.29418333333333335}; scores_are: {'2007_000032': (0.3078349544357267, 0.5829957219768752, 0.8516394650814836), '2007_000033': (0.32996387692513296, 0.5038002420215997, 1.0), '2007_000042': (0.01184504587459767, 0.9765872335435328, 1.0), '2007_000063': (0.2500886597750138, 0.7655089093031819, 0.7349366930348616), '2007_000068': (0.2923338926192336, 0.5475876717482867, 1.0), '2007_000121': (0.1422985521474628, 0.7508557602914776, 1.0), '2007_000123': (0.33313380329131337, 0.5002245048938756, 1.0), '2007_000129': (0.32580343614163887, 0.5085192461262674, 1.0), '2007_000170': (0.42026533989865356, 0.41826251882852844, 0.9442771239883547), '2007_000175': (0.09218603095514466, 0.8311898736252364, 1.0), '2007_000187': (0.13384502533634246, 0.7639094896648, 1.0), '2007_000243': (0.04802868101384983, 0.9083447201704681, 1.0), '2007_000250': (0.41063211517354337, 0.43456745896092797, 0.9154763564114227), '2007_000256': (0.18853298609067082, 0.6827467334990936, 1.0), '2007_000323': (0.22762890527543422, 0.6291568171826928, 1.0)}; scores_slic: {'2007_000032': 0.46115, '2007_000033': 0.25495, '2007_000042': 0.2664, '2007_000063': 0.322475, '2007_000068': 0.46675, '2007_000121': 0.195075, '2007_000123': 0.610425, '2007_000129': 0.6464, '2007_000170': 0.365325, '2007_000175': 0.390075, '2007_000187': 0.29745, '2007_000243': 0.240225, '2007_000250': 0.383975, '2007_000256': 0.59685, '2007_000323': 0.2503}; scores_are_slice: {'2007_000032': (0.5104007604274151, 0.3744908184915649, 0.7068730252738852), '2007_000033': (0.3329078159370106, 0.5004788598932743, 1.0), '2007_000042': (0.1893770200099013, 0.6815525828667434, 1.0), '2007_000063': (0.40975848171650797, 0.5779070675171891, 0.6031139677831152), '2007_000068': (0.11199267722086104, 0.7985729951014465, 1.0), '2007_000121': (0.47870860167701157, 0.35253152496157053, 1.0), '2007_000123': (0.0, 1.0, 1.0), '2007_000129': (0.0, 1.0, 1.0), '2007_000170': (0.24025903392653591, 0.6284170681056568, 0.9604521226619303), '2007_000175': (0.000826514079452001, 0.9983483369638498, 1.0), '2007_000187': (0.0, 1.0, 1.0), '2007_000243': (0.11516268760888904, 0.7934602925859746, 1.0), '2007_000250': (0.25339774297545403, 0.6170995670404202, 0.9448951608196117), '2007_000256': (0.0, 1.0, 1.0), '2007_000323': (0.0, 1.0, 1.0)}; pdf_file: ga_2021_05_08T13_21.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 5; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.023266666666666668, '2007_000033': 0.2596, '2007_000042': 0.01515, '2007_000068': 0.30646666666666667, '2007_000121': 0.26105, '2007_000123': 0.13734166666666667, '2007_000129': 0.11629166666666667, '2007_000170': 0.04895, '2007_000175': 0.0242, '2007_000187': 0.027525, '2007_000256': 0.29418333333333335}; scores_are: {'2007_000032': (0.3078349544357267, 0.5829957219768752, 0.8516394650814836), '2007_000033': (0.32996387692513296, 0.5038002420215997, 1.0), '2007_000042': (0.01184504587459767, 0.9765872335435328, 1.0), '2007_000063': (0.2500886597750138, 0.7655089093031819, 0.7349366930348616), '2007_000068': (0.2923338926192336, 0.5475876717482867, 1.0), '2007_000121': (0.1422985521474628, 0.7508557602914776, 1.0), '2007_000123': (0.33313380329131337, 0.5002245048938756, 1.0), '2007_000129': (0.32580343614163887, 0.5085192461262674, 1.0), '2007_000170': (0.42026533989865356, 0.41826251882852844, 0.9442771239883547), '2007_000175': (0.09218603095514466, 0.8311898736252364, 1.0), '2007_000187': (0.13384502533634246, 0.7639094896648, 1.0), '2007_000243': (0.04802868101384983, 0.9083447201704681, 1.0), '2007_000250': (0.41063211517354337, 0.43456745896092797, 0.9154763564114227), '2007_000256': (0.18853298609067082, 0.6827467334990936, 1.0), '2007_000323': (0.22762890527543422, 0.6291568171826928, 1.0)}; scores_slic: {'2007_000032': 0.46115, '2007_000033': 0.25495, '2007_000042': 0.2664, '2007_000063': 0.322475, '2007_000068': 0.46675, '2007_000121': 0.195075, '2007_000123': 0.610425, '2007_000129': 0.6464, '2007_000170': 0.365325, '2007_000175': 0.390075, '2007_000187': 0.29745, '2007_000243': 0.240225, '2007_000250': 0.383975, '2007_000256': 0.59685, '2007_000323': 0.2503}; scores_are_slice: {'2007_000032': (0.5104007604274151, 0.3744908184915649, 0.7068730252738852), '2007_000033': (0.3329078159370106, 0.5004788598932743, 1.0), '2007_000042': (0.1893770200099013, 0.6815525828667434, 1.0), '2007_000063': (0.40975848171650797, 0.5779070675171891, 0.6031139677831152), '2007_000068': (0.11199267722086104, 0.7985729951014465, 1.0), '2007_000121': (0.47870860167701157, 0.35253152496157053, 1.0), '2007_000123': (0.0, 1.0, 1.0), '2007_000129': (0.0, 1.0, 1.0), '2007_000170': (0.24025903392653591, 0.6284170681056568, 0.9604521226619303), '2007_000175': (0.000826514079452001, 0.9983483369638498, 1.0), '2007_000187': (0.0, 1.0, 1.0), '2007_000243': (0.11516268760888904, 0.7934602925859746, 1.0), '2007_000250': (0.25339774297545403, 0.6170995670404202, 0.9448951608196117), '2007_000256': (0.0, 1.0, 1.0), '2007_000323': (0.0, 1.0, 1.0)}; pdf_file: ga_2021_05_08T13_26.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 5; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.1; scores: {'2007_000032': 0.1626, '2007_000063': 0.050925, '2007_000121': 0.11968333333333334, '2007_000123': 0.13755, '2007_000129': 0.09331666666666667, '2007_000170': 0.00013333333333333334, '2007_000175': 0.015083333333333334, '2007_000243': 0.055025, '2007_000256': 0.13508333333333333}; scores_are: {'2007_000032': (0.4194863929244641, 0.4478171024168412, 0.8249664518396105), '2007_000033': (0.21541780633093321, 0.6455246826089706, 1.0), '2007_000042': (0.031180249184205255, 0.9395251233547718, 1.0), '2007_000063': (0.4546487509003021, 0.45317602039884186, 0.6845971379289846), '2007_000068': (0.13435685370143025, 0.7631136035137075, 1.0), '2007_000121': (0.24425994949457963, 0.6073811592283455, 1.0), '2007_000123': (0.3333095789782722, 0.5000267241255546, 1.0), '2007_000129': (0.310635470903062, 0.5259773174168313, 1.0), '2007_000170': (0.07340640626352146, 0.9065977420948333, 0.9474913926606191), '2007_000175': (0.04946311019735772, 0.9057363527755521, 1.0), '2007_000187': (0.32675790046134157, 0.5074340234224782, 1.0), '2007_000243': (0.24823921613062894, 0.6022569825996388, 1.0), '2007_000250': (0.27531930230468216, 0.5916494992131527, 0.934888492669135), '2007_000256': (0.18631848060417644, 0.6858879236049886, 1.0), '2007_000323': (0.26269639034404046, 0.5839120277005545, 1.0)}; scores_slic: {'2007_000032': 0.364075, '2007_000033': 0.83645, '2007_000042': 0.4513, '2007_000063': 0.4424, '2007_000068': 0.9173, '2007_000121': 0.553425, '2007_000123': 0.610425, '2007_000129': 0.6464, '2007_000170': 0.368325, '2007_000175': 0.6975, '2007_000187': 0.729575, '2007_000243': 0.98855, '2007_000250': 0.58215, '2007_000256': 0.912975, '2007_000323': 0.2503}; scores_are_slice: {'2007_000032': (0.36785278377617114, 0.5025564470983392, 0.8517932823075464), '2007_000033': (0.0, 1.0, 1.0), '2007_000042': (0.0, 1.0, 1.0), '2007_000063': (0.23748852381811736, 1.0, 0.6161766040700304), '2007_000068': (0.0, 1.0, 1.0), '2007_000121': (0.0, 1.0, 1.0), '2007_000123': (0.0, 1.0, 1.0), '2007_000129': (0.0, 1.0, 1.0), '2007_000170': (0.24202037522989872, 0.6260418720531801, 0.9603785208402711), '2007_000175': (0.0, 1.0, 1.0), '2007_000187': (0.0, 1.0, 1.0), '2007_000243': (0.0, 1.0, 1.0), '2007_000250': (0.31113350469158263, 0.5498401302239816, 0.9219906332950119), '2007_000256': (0.0, 1.0, 1.0), '2007_000323': (0.0, 1.0, 1.0)}; pdf_file: ga_2021_05_08T13_52.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 5; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.2; scores: {'2007_000032': 0.1626, '2007_000063': 0.050925, '2007_000121': 0.11968333333333334, '2007_000123': 0.13755, '2007_000129': 0.09331666666666667, '2007_000170': 0.00013333333333333334, '2007_000175': 0.015083333333333334, '2007_000243': 0.055025, '2007_000256': 0.13508333333333333}; scores_are: {'2007_000032': (0.4194863929244641, 0.4478171024168412, 0.8249664518396105), '2007_000033': (0.21541780633093321, 0.6455246826089706, 1.0), '2007_000042': (0.031180249184205255, 0.9395251233547718, 1.0), '2007_000063': (0.4546487509003021, 0.45317602039884186, 0.6845971379289846), '2007_000068': (0.13435685370143025, 0.7631136035137075, 1.0), '2007_000121': (0.24425994949457963, 0.6073811592283455, 1.0), '2007_000123': (0.3333095789782722, 0.5000267241255546, 1.0), '2007_000129': (0.310635470903062, 0.5259773174168313, 1.0), '2007_000170': (0.07340640626352146, 0.9065977420948333, 0.9474913926606191), '2007_000175': (0.04946311019735772, 0.9057363527755521, 1.0), '2007_000187': (0.32675790046134157, 0.5074340234224782, 1.0), '2007_000243': (0.24823921613062894, 0.6022569825996388, 1.0), '2007_000250': (0.27531930230468216, 0.5916494992131527, 0.934888492669135), '2007_000256': (0.18631848060417644, 0.6858879236049886, 1.0), '2007_000323': (0.26269639034404046, 0.5839120277005545, 1.0)}; scores_slic: {'2007_000032': 0.42415, '2007_000033': 0.83645, '2007_000042': 0.4513, '2007_000063': 0.2698, '2007_000068': 0.9173, '2007_000121': 0.553425, '2007_000123': 0.610425, '2007_000129': 0.6464, '2007_000170': 0.3628, '2007_000175': 0.6975, '2007_000187': 0.729575, '2007_000243': 0.98855, '2007_000250': 0.349625, '2007_000256': 0.912975, '2007_000323': 0.2503}; scores_are_slice: {'2007_000032': (0.3172920037116631, 0.5471308218089334, 0.9076109262753856), '2007_000033': (0.0, 1.0, 1.0), '2007_000042': (0.0, 1.0, 1.0), '2007_000063': (0.5046876238299407, 0.4068871995471564, 0.6328423834976977), '2007_000068': (0.0, 1.0, 1.0), '2007_000121': (0.0, 1.0, 1.0), '2007_000123': (0.0, 1.0, 1.0), '2007_000129': (0.0, 1.0, 1.0), '2007_000170': (0.24628404619607647, 0.620969405407112, 0.9586493974197567), '2007_000175': (0.0, 1.0, 1.0), '2007_000187': (0.0, 1.0, 1.0), '2007_000243': (0.0, 1.0, 1.0), '2007_000250': (0.3151588721476787, 0.5451571385591799, 0.9207663449563057), '2007_000256': (0.0, 1.0, 1.0), '2007_000323': (0.0, 1.0, 1.0)}; pdf_file: ga_2021_05_08T14_03.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 5; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.01; scores: {'2007_000032': 0.1626, '2007_000063': 0.050925, '2007_000121': 0.11968333333333334, '2007_000123': 0.13755, '2007_000129': 0.09331666666666667, '2007_000170': 0.00013333333333333334, '2007_000175': 0.015083333333333334, '2007_000243': 0.055025, '2007_000256': 0.13508333333333333}; scores_are: {'2007_000032': (0.4194863929244641, 0.4478171024168412, 0.8249664518396105), '2007_000033': (0.21541780633093321, 0.6455246826089706, 1.0), '2007_000042': (0.031180249184205255, 0.9395251233547718, 1.0), '2007_000063': (0.4546487509003021, 0.45317602039884186, 0.6845971379289846), '2007_000068': (0.13435685370143025, 0.7631136035137075, 1.0), '2007_000121': (0.24425994949457963, 0.6073811592283455, 1.0), '2007_000123': (0.3333095789782722, 0.5000267241255546, 1.0), '2007_000129': (0.310635470903062, 0.5259773174168313, 1.0), '2007_000170': (0.07340640626352146, 0.9065977420948333, 0.9474913926606191), '2007_000175': (0.04946311019735772, 0.9057363527755521, 1.0), '2007_000187': (0.32675790046134157, 0.5074340234224782, 1.0), '2007_000243': (0.24823921613062894, 0.6022569825996388, 1.0), '2007_000250': (0.27531930230468216, 0.5916494992131527, 0.934888492669135), '2007_000256': (0.18631848060417644, 0.6858879236049886, 1.0), '2007_000323': (0.26269639034404046, 0.5839120277005545, 1.0)}; scores_slic: {'2007_000032': 0.42415, '2007_000033': 0.83645, '2007_000042': 0.4513, '2007_000063': 0.2698, '2007_000068': 0.9173, '2007_000121': 0.553425, '2007_000123': 0.610425, '2007_000129': 0.6464, '2007_000170': 0.3628, '2007_000175': 0.6975, '2007_000187': 0.729575, '2007_000243': 0.98855, '2007_000250': 0.349625, '2007_000256': 0.912975, '2007_000323': 0.2503}; scores_are_slice: {'2007_000032': (0.3172920037116631, 0.5471308218089334, 0.9076109262753856), '2007_000033': (0.0, 1.0, 1.0), '2007_000042': (0.0, 1.0, 1.0), '2007_000063': (0.5046876238299407, 0.4068871995471564, 0.6328423834976977), '2007_000068': (0.0, 1.0, 1.0), '2007_000121': (0.0, 1.0, 1.0), '2007_000123': (0.0, 1.0, 1.0), '2007_000129': (0.0, 1.0, 1.0), '2007_000170': (0.24628404619607647, 0.620969405407112, 0.9586493974197567), '2007_000175': (0.0, 1.0, 1.0), '2007_000187': (0.0, 1.0, 1.0), '2007_000243': (0.0, 1.0, 1.0), '2007_000250': (0.3151588721476787, 0.5451571385591799, 0.9207663449563057), '2007_000256': (0.0, 1.0, 1.0), '2007_000323': (0.0, 1.0, 1.0)}; pdf_file: ga_2021_05_08T14_12.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 10; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.001; scores: {'2007_000032': 0.11548333333333333, '2007_000033': 0.016225, '2007_000042': 0.0038583333333333334, '2007_000063': 0.014083333333333333, '2007_000121': 0.2141, '2007_000129': 0.15903333333333333, '2007_000243': 0.32395, '2007_000256': 0.3307}; scores_are: {'2007_000032': (0.4185885042990115, 0.4618302198447748, 0.7845558141118513), '2007_000033': (0.13592473751238532, 0.7606800291891641, 1.0), '2007_000042': (0.008064357805454558, 0.9840003116011153, 1.0), '2007_000063': (0.26460241673169016, 0.7697011917107155, 0.704021165190802), '2007_000068': (0.08105899857065157, 0.8500377894678723, 1.0), '2007_000121': (0.09883687027980148, 0.8201063816603928, 1.0), '2007_000123': (0.06072766803116203, 0.885498097463829, 1.0), '2007_000129': (0.3323858522805565, 0.5010666741745513, 1.0), '2007_000170': (0.31920213804611985, 0.5302236968938974, 0.950811548374472), '2007_000175': (0.07743078440095408, 0.8562677333486342, 1.0), '2007_000187': (0.3154481563649568, 0.5203943920729642, 1.0), '2007_000243': (0.0868183564745102, 0.8402339158934765, 1.0), '2007_000250': (0.4281050664275272, 0.4257206664260172, 0.870937679303303), '2007_000256': (0.315165043231295, 0.5207216845469824, 1.0), '2007_000323': (0.3325763362535632, 0.5008521054957704, 1.0)}; scores_slic: {'2007_000032': 0.42415, '2007_000033': 0.83645, '2007_000042': 0.4513, '2007_000063': 0.2698, '2007_000068': 0.9173, '2007_000121': 0.553425, '2007_000123': 0.610425, '2007_000129': 0.6464, '2007_000170': 0.3628, '2007_000175': 0.6975, '2007_000187': 0.729575, '2007_000243': 0.98855, '2007_000250': 0.349625, '2007_000256': 0.912975, '2007_000323': 0.2503}; scores_are_slice: {'2007_000032': (0.3172920037116631, 0.5471308218089334, 0.9076109262753856), '2007_000033': (0.0, 1.0, 1.0), '2007_000042': (0.0, 1.0, 1.0), '2007_000063': (0.5046876238299407, 0.4068871995471564, 0.6328423834976977), '2007_000068': (0.0, 1.0, 1.0), '2007_000121': (0.0, 1.0, 1.0), '2007_000123': (0.0, 1.0, 1.0), '2007_000129': (0.0, 1.0, 1.0), '2007_000170': (0.24628404619607647, 0.620969405407112, 0.9586493974197567), '2007_000175': (0.0, 1.0, 1.0), '2007_000187': (0.0, 1.0, 1.0), '2007_000243': (0.0, 1.0, 1.0), '2007_000250': (0.3151588721476787, 0.5451571385591799, 0.9207663449563057), '2007_000256': (0.0, 1.0, 1.0), '2007_000323': (0.0, 1.0, 1.0)}; pdf_file: ga_2021_05_08T14_56.pdf; 
dataset: images/simple; image_size: (200, 200); number_of_iterations: 10; coding_method: 3; selection_method: 3; mutation_type: 3; crossover_rate: 0.05; scores: {'2007_000032': 0.11548333333333333, '2007_000033': 0.016225, '2007_000042': 0.0038583333333333334, '2007_000063': 0.014083333333333333, '2007_000121': 0.2141, '2007_000129': 0.15903333333333333, '2007_000243': 0.32395, '2007_000256': 0.3307}; scores_are: {'2007_000032': (0.4185885042990115, 0.4618302198447748, 0.7845558141118513), '2007_000033': (0.13592473751238532, 0.7606800291891641, 1.0), '2007_000042': (0.008064357805454558, 0.9840003116011153, 1.0), '2007_000063': (0.26460241673169016, 0.7697011917107155, 0.704021165190802), '2007_000068': (0.08105899857065157, 0.8500377894678723, 1.0), '2007_000121': (0.09883687027980148, 0.8201063816603928, 1.0), '2007_000123': (0.06072766803116203, 0.885498097463829, 1.0), '2007_000129': (0.3323858522805565, 0.5010666741745513, 1.0), '2007_000170': (0.31920213804611985, 0.5302236968938974, 0.950811548374472), '2007_000175': (0.07743078440095408, 0.8562677333486342, 1.0), '2007_000187': (0.3154481563649568, 0.5203943920729642, 1.0), '2007_000243': (0.0868183564745102, 0.8402339158934765, 1.0), '2007_000250': (0.4281050664275272, 0.4257206664260172, 0.870937679303303), '2007_000256': (0.315165043231295, 0.5207216845469824, 1.0), '2007_000323': (0.3325763362535632, 0.5008521054957704, 1.0)}; scores_slic: {'2007_000032': 0.42415, '2007_000033': 0.83645, '2007_000042': 0.4513, '2007_000063': 0.2698, '2007_000068': 0.9173, '2007_000121': 0.553425, '2007_000123': 0.610425, '2007_000129': 0.6464, '2007_000170': 0.3628, '2007_000175': 0.6975, '2007_000187': 0.729575, '2007_000243': 0.98855, '2007_000250': 0.349625, '2007_000256': 0.912975, '2007_000323': 0.2503}; scores_are_slice: {'2007_000032': (0.3172920037116631, 0.5471308218089334, 0.9076109262753856), '2007_000033': (0.0, 1.0, 1.0), '2007_000042': (0.0, 1.0, 1.0), '2007_000063': (0.5046876238299407, 0.4068871995471564, 0.6328423834976977), '2007_000068': (0.0, 1.0, 1.0), '2007_000121': (0.0, 1.0, 1.0), '2007_000123': (0.0, 1.0, 1.0), '2007_000129': (0.0, 1.0, 1.0), '2007_000170': (0.24628404619607647, 0.620969405407112, 0.9586493974197567), '2007_000175': (0.0, 1.0, 1.0), '2007_000187': (0.0, 1.0, 1.0), '2007_000243': (0.0, 1.0, 1.0), '2007_000250': (0.3151588721476787, 0.5451571385591799, 0.9207663449563057), '2007_000256': (0.0, 1.0, 1.0), '2007_000323': (0.0, 1.0, 1.0)}; pdf_file: ga_2021_05_08T15_37.pdf; 
